Datetime,Match,Red Team 1,Blue Team 1,Red Score,Blue Score
12-May-2025 16:31 CDT,TeamWork #1,1108D,10700Z,108,108
12-May-2025 16:35 CDT,TeamWork #2,16346G,6177D,147,147
12-May-2025 16:38 CDT,TeamWork #3,2205A,686X,173,173
12-May-2025 16:41 CDT,TeamWork #4,7163B,13155U,134,134
12-May-2025 16:43 CDT,TeamWork #5,5081A,3088C,82,82
12-May-2025 16:45 CDT,TeamWork #6,23761E,18223A,29,29
12-May-2025 16:47 CDT,TeamWork #7,99396B,51566A,82,82
12-May-2025 16:49 CDT,TeamWork #8,505T,22020N,6,6
12-May-2025 16:51 CDT,TeamWork #9,5498F,76782A,12,12
12-May-2025 16:54 CDT,TeamWork #10,2623S,17593V,225,225
12-May-2025 16:56 CDT,TeamWork #11,28134C,11108B,213,213
12-May-2025 16:58 CDT,TeamWork #12,4751X,839A,190,190
12-May-2025 17:00 CDT,TeamWork #13,11588B,1729X,147,147
12-May-2025 17:02 CDT,TeamWork #14,72030T,64165V,121,121
12-May-2025 17:04 CDT,TeamWork #15,95111C,55451B,83,83
12-May-2025 17:06 CDT,TeamWork #16,32092B,74177U,16,16
12-May-2025 17:08 CDT,TeamWork #17,92456S,10404A,95,95
12-May-2025 17:09 CDT,TeamWork #18,2045R,80666A,147,147
12-May-2025 17:12 CDT,TeamWork #19,20224H,8235M,95,95
12-May-2025 17:13 CDT,TeamWork #20,31542A,45557C,2,2
12-May-2025 17:15 CDT,TeamWork #21,55883A,41843N,95,95
12-May-2025 17:16 CDT,TeamWork #22,37837B,8676A,109,109
12-May-2025 17:18 CDT,TeamWork #23,20616B,40585A,95,95
12-May-2025 17:20 CDT,TeamWork #24,29627D,47201C,57,57
12-May-2025 17:21 CDT,TeamWork #25,82894A,3686B,108,108
12-May-2025 17:22 CDT,TeamWork #26,70569B,184K,134,134
12-May-2025 17:24 CDT,TeamWork #27,31337A,2501X,69,69
12-May-2025 17:26 CDT,TeamWork #28,8009A,18882F,82,82
12-May-2025 17:28 CDT,TeamWork #29,58488A,9825E,95,95
12-May-2025 17:29 CDT,TeamWork #30,26208A,77773N,69,69
12-May-2025 17:31 CDT,TeamWork #31,3383D,94001A,29,29
12-May-2025 17:33 CDT,TeamWork #32,84732C,62628A,56,56
12-May-2025 17:35 CDT,TeamWork #33,38968H,8966R,279,279
12-May-2025 17:39 CDT,TeamWork #34,1336C,9964E,148,148
12-May-2025 17:41 CDT,TeamWork #35,37R,7704M,58,58
12-May-2025 17:43 CDT,TeamWork #36,2820Y,89891E,69,69
12-May-2025 17:45 CDT,TeamWork #37,10515F,34470A,25,25
12-May-2025 17:47 CDT,TeamWork #38,6565X,92G,135,135
12-May-2025 17:49 CDT,TeamWork #39,44632S,6020A,95,95
12-May-2025 17:51 CDT,TeamWork #40,67960A,952Z,69,69
12-May-2025 17:53 CDT,TeamWork #41,4224C,48604A,12,12
12-May-2025 17:55 CDT,TeamWork #42,282S,17593V,162,162
12-May-2025 17:56 CDT,TeamWork #43,8235M,40585A,69,69
13-May-2025 08:20 CDT,TeamWork #44,64165V,47201C,95,95
13-May-2025 08:21 CDT,TeamWork #45,1729X,7163B,188,188
13-May-2025 08:27 CDT,TeamWork #46,3088C,20616B,47,47
13-May-2025 08:29 CDT,TeamWork #47,13155U,74177U,82,82
13-May-2025 08:30 CDT,TeamWork #48,16346G,37837B,36,36
13-May-2025 08:33 CDT,TeamWork #49,6177D,31542A,82,82
13-May-2025 08:35 CDT,TeamWork #50,2045R,58488A,56,56
13-May-2025 08:38 CDT,TeamWork #51,41843N,1108D,69,69
13-May-2025 08:40 CDT,TeamWork #52,80666A,29627D,160,160
13-May-2025 08:42 CDT,TeamWork #53,9825E,8676A,173,173
13-May-2025 08:44 CDT,TeamWork #54,8966R,5081A,58,58
13-May-2025 08:46 CDT,TeamWork #55,37R,8009A,82,82
13-May-2025 08:48 CDT,TeamWork #56,51566A,3383D,96,96
13-May-2025 08:50 CDT,TeamWork #57,89891E,3686B,102,102
13-May-2025 08:52 CDT,TeamWork #58,10700Z,10515F,134,134
13-May-2025 08:54 CDT,TeamWork #59,92G,26208A,121,121
13-May-2025 08:56 CDT,TeamWork #60,5498F,38968H,82,82
13-May-2025 08:58 CDT,TeamWork #61,1336C,70569B,121,121
13-May-2025 09:00 CDT,TeamWork #62,11108B,7704M,108,108
13-May-2025 09:02 CDT,TeamWork #63,686X,99396B,56,56
13-May-2025 09:04 CDT,TeamWork #64,952Z,31337A,56,56
13-May-2025 09:06 CDT,TeamWork #65,55451B,82894A,38,38
13-May-2025 09:08 CDT,TeamWork #66,2501X,76782A,56,56
13-May-2025 09:10 CDT,TeamWork #67,6565X,28134C,382,382
13-May-2025 09:12 CDT,TeamWork #68,6020A,505T,60,60
13-May-2025 09:14 CDT,TeamWork #69,184K,84732C,109,109
13-May-2025 09:17 CDT,TeamWork #70,62628A,2205A,200,200
13-May-2025 09:19 CDT,TeamWork #71,839A,23761E,277,277
13-May-2025 09:21 CDT,TeamWork #72,48604A,20224H,83,83
13-May-2025 09:22 CDT,TeamWork #73,9964E,4751X,96,96
13-May-2025 09:24 CDT,TeamWork #74,45557C,44632S,44,44
13-May-2025 09:26 CDT,TeamWork #75,32092B,55883A,95,95
13-May-2025 09:27 CDT,TeamWork #76,72030T,67960A,95,95
13-May-2025 09:29 CDT,TeamWork #77,22020N,2623S,0,108
13-May-2025 09:31 CDT,TeamWork #78,10404A,18223A,69,69
13-May-2025 09:35 CDT,TeamWork #79,11588B,4224C,27,27
